"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"280","Respondent 283","I give consent to take part in this study",59,"Female","Yes","HU8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","2","2",NA,2,52,12,2,12,"Yes",5,7,7,7,3,"Dog walking","Clean, park, relaxing","Wild, green, litter","Birds, fox,deer","Everything","No","Ensure litter is regularly picked up. Educate children the importance of nature.","2025-05-27 08:35:15 UTC","2025-05-27 08:42:37 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,80,16,5
"281","Respondent 284","I give consent to take part in this study",38,"Female","Yes","YO16","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,12,2,52,2,52,"Yes",5,7,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Artificially straightened river","Quiet, biodiverse, shallow","waterfowl, kingfishers, signs of water vole, brown rat, badger, deer and otters","Priority species","I already do","Improve plastic/chemical pollution awareness for general public. Better protection for mammals where roads cross rivers.","2025-05-27 08:53:30 UTC","2025-05-27 09:11:18 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,120,24,5
"282","Respondent 285","I give consent to take part in this study",69,"Male","Yes","Hu1","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","2","2","2","2","3","3",NA,52,12,12,12,12,"Yes",7,7,5,5,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","East Park Lake","North cave wetlands","Mainly birds","All","I already do","Greater maintenance","2025-05-27 10:55:15 UTC","2025-05-27 10:59:35 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,100,20,5
"283","Respondent 286","I give consent to take part in this study",30,"Male","Yes","YO1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,52,2,12,2,1,"Yes",7,7,7,6,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Nice but disturbed","Peaceful, wildlife rich","Dipper, kingfisher, heron, seabirds, grey seal, porpoises, water vole, grass snake,","Otters, grass snake,","I would if I had the space","Need much bigger buffers around river for development, sort out the disgraceful water company's pollution practices, rewild,","2025-05-27 10:57:57 UTC","2025-05-27 11:08:17 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,69,13.8,5
"284","Respondent 287","I give consent to take part in this study",60,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,12,2,2,2,1,"Yes",7,7,5,6,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Parkland, pond, managed","Cemetery, unused, woodland","Birds, mammals, insects, plants","All","I already do","More areas managed for wildlife with access and information for public","2025-05-27 14:29:22 UTC","2025-05-27 14:43:43 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,19,3.8,5
"285","Respondent 288","I give consent to take part in this study",72,"Female","Yes","HU4","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","2","3",NA,2,52,2,2,2,"Yes",6,7,4,6,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Muddy tidal river","Colourful lush banks.","Wading birds, seagulls, birds","Otters, larger birds.","No","Encourage working parties to litter pick. Provide more refuse bins.","2025-05-27 16:54:32 UTC","2025-05-27 17:18:54 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,60,12,5
"286","Respondent 289","I give consent to take part in this study",68,"Male","Yes","Hu11","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","3","2","1","3","4",NA,52,2,52,12,12,"Yes",6,6,4,6,5,"Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Quiet, secluded, secret","Remote bleak inspiring","Birds, hares, deer, foxes, rabbits, amphibians, fish, snake","Amphibians snakes","I would if I had the space","Not sure","2025-05-27 17:42:33 UTC","2025-05-27 17:51:06 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,130,26,5
"287","Respondent 290","I give consent to take part in this study",55,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","1",NA,12,52,2,1,2,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Dirty, barren, smelly","amazing, fulfilling, interesting","All sorts, in last week Brown trout, crayfish, minnows, heron, goosander, mallard, gulls, geese(greylag, one of the canada sp) mayfly, skaters, kingfisher, sand martin, lots of plants and flowers etc)","evrything","I already do","more investment is needed. Reducing pollution is a start.","2025-05-28 11:38:02 UTC","2025-05-28 11:46:22 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,69,13.8,5
"288","Respondent 291","I give consent to take part in this study",76,"Male","Yes","hu7","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1","1","1","1","1","1",NA,12,12,12,12,1,"Yes",6,7,5,6,6,"Nature watching","calm pleasing interesting","essential biodiverse pleasing","plants birds invertebrates ""other vertebrates""","invertebrates","I already do","encourage the appreciation of ""untidyness""","2025-05-28 12:59:50 UTC","2025-05-28 13:12:50 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,49,9.8,5
"289","Respondent 292","I give consent to take part in this study",44,"Female","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","1",NA,12,2,2,12,2,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Beverley beck","Don't know","Blue tit's and Robins","Everything included Hedgehogs","I already do","Public transport accessible","2025-05-28 16:13:23 UTC","2025-05-28 16:19:18 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,30,6,5
"290","Respondent 293","I give consent to take part in this study",35,"Female","Yes","Hu9","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","2",NA,52,12,2,52,12,"Yes",7,7,6,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Could be cleaner","Calming joyful grounding","Birds and invertebrates","All of them","I would if I had the space","Encourage keeping clean / litter picking","2025-05-28 17:29:50 UTC","2025-05-28 17:37:40 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,130,26,5
"291","Respondent 294","I give consent to take part in this study",64,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,12,52,2,2,12,"Yes",7,7,5,6,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Pearson Park pond","River Hull bank","Waterfowl, songbirds, dragonflies, damselflies, butterflies, small insects, squirrels, many species of plants","Butterflies, songbirds, foxes","I already do","Allow more secluded places to develop to protect wildlife; for humans keep footpaths near the blue spaces accessible at all times, i.e. don't allow areas to become waterlogged (eg East Park) thus forcing people to walk into areas that might disturb wildlife.","2025-05-29 12:11:17 UTC","2025-05-29 12:22:42 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,80,16,5
"292","Respondent 295","I give consent to take part in this study",53,"Male","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,12,12,12,12,2,"Yes",7,7,7,6,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Struggling Fascinating calming","Struggling Fascinating Essential","Birds, Dragonflies, Moths, Butterflies, huge range of invertebrates, fish","All types. Starting with invertebrates.","I already do","Educating people about them. Getting people (especially young people) to understand hopefully to lead to caring for them.","2025-05-29 19:32:06 UTC","2025-05-29 19:41:17 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,50,10,5
"293","Respondent 296","I give consent to take part in this study",74,"Male","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","2","2","1","2","3",NA,12,2,2,2,1,"Yes",6,6,6,6,5,"Nature watching,Dog walking,Photography,Pond dipping","a village pond","phragmites dominated pond","pond weeds, emergent vegetation,odonata and other aqautic insects, birds, grass snake, water vole, water shrew, terrapins, amphibians, fishpoins ve","water vole, water shrew, greater variety of emergent vegetation, net","I would if I had the space","improve water quality, build ponds with no inflow from steams or road run-offffold","2025-05-29 22:01:31 UTC","2025-05-29 22:17:10 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,19,3.8,5
"294","Respondent 297","I give consent to take part in this study",65,"Female","Yes","TS1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","3",NA,52,12,52,12,12,"Yes",6,6,4,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Tranquil, amazing, calming","Diverse, restorative, uplifting","Deer, mute swans, grey herons","Otterd","Maybe, I would consider providing a blue space with more information or assistance","Encourage everyone to look after blue spaces. Take litter home, respect the plants etc","2025-05-30 17:52:59 UTC","2025-05-30 17:58:40 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,140,28,5
"295","Respondent 298","I give consent to take part in this study",65,"Female","Yes","DN14","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1","1","1","1","1","3",NA,52,12,12,0,1,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Canal, boats, quiet","Reservoir, open, birds","Birds, insects, fish, deer","Birds, small mammals","I already do","Free parking, accessible paths, litter bins, information boards, volunteer days - ranger talks, litter picking","2025-05-31 06:42:50 UTC","2025-05-31 07:03:06 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,0,1,77,15.4,4
"296","Respondent 299","I give consent to take part in this study",74,"Male","Yes","hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1","2","1","2","2",NA,12,12,12,2,2,"Yes",5,4,4,5,5,"Exercise (e.g., walking, kayaking, swimming) ,Photography","define blue space","define blue space","ditto","greater variety of local bird life, hedghogs","I would if I had the space","educate and provide incentives","2025-06-01 08:56:19 UTC","2025-06-01 09:05:45 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,40,8,5
"297","Respondent 300","I give consent to take part in this study",49,"Female","Yes","HG4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","2","2","2","2","3",NA,52,2,12,2,1,"Yes",5,7,7,5,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Babbling calming wildlife","Thundering water green","Avi-fauna butterflies, insects, plantlife - ferns - algae","Everything native!","Maybe, I would consider providing a blue space with more information or assistance","Stop sewage discharges but also making sure people realise they can help with this. Stopping things flushing and respecting water use","2025-06-01 12:22:19 UTC","2025-06-01 12:26:40 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,69,13.8,5
"298","Respondent 301","I give consent to take part in this study",30,"Female","Yes","Hu7","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","3","2","3","3",NA,2,12,12,1,12,"No",5,6,4,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Overgrown wildlife murky","Overgrown wildlife murky","Birds, dragonfly","Dragonfly","I would if I had the space","Tidy them up","2025-06-03 08:28:27 UTC","2025-06-03 08:33:10 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,39,7.8,5
